Address,Business Name,Street,Rating,Latitude,Longitude,Flag
1 43rd st,43rd Street Concrete,39th St,4.5,40.4751821,-79.9645814,broad_filled
1 mccandless ave,,,,,,
1 ohara pl,,,,,,
1 ohara pl apt 1,,,,,,
1 ohara pl apt 2,,,,,,
1 ohara pl apt 3,,,,,,
1 saint john pl,,,,,,
1 saint john pl apt 1,,,,,,
1 saint john pl apt 2,,,,,,
1 saint john pl apt 3,,,,,,
10 40th st,National Robotics Engineering Center,butler st,4.9,40.4728736,-79.9650268,consolidated
10 40th st,Carnegie Mellon Robotics Academy,butler st,,40.47317590000001,-79.96500619999999,consolidated
100 40th st,Steel City Speed & Custom,penn ave,4.6,40.4708268,-79.9647737,consolidated
100 43rd st,Renaissance & Baroque,butler st,,40.4728608,-79.9638889,consolidated
100 43rd st,Karen Meyers Photography,butler st,5.0,40.4728608,-79.9638889,consolidated
100 43rd st,Asia Margo Photography,butler st,,40.4729243,-79.96394649999999,consolidated
100 43rd st,"ProtoInnovations, LLC",butler st,5.0,40.47287370000001,-79.9638856,consolidated
100 43rd st,Pittsburgh Ultimate,butler st,5.0,40.4726675,-79.9638216,consolidated
100 43rd st,McCormick Architects and Designers,butler st,5.0,40.47287370000001,-79.9638856,consolidated
100 43rd st,Ice House Studios,butler st,4.8,40.472912,-79.9636963,consolidated
100 43rd st,Associated Artists of Pittsburgh,butler st,5.0,40.4731817,-79.96369109999999,consolidated
100 43rd st,Elan Mizrahi Photography,butler st,5.0,40.4729254,-79.963728,consolidated
100 44th st,,,,,,
100 49th st,,,,,,
100 50th st,,,,,,
101 43rd half st,,,,,,
101 43rd st,,,,,,
101 44th st apt 1,,,,,,
101 44th st apt 2,,,,,,
101 49th st,,,,,,
102 1/2 44th st,,,,,,
102 43rd half st,,,,,,
102 44th st,,,,,,
102 mccandless ave,,,,,,
103 44th st,,,,,,
103 44th st apt 1,,,,,,
103 44th st apt 2,,,,,,
103 49th st,,,,,,
103 honeycrisp ln,,,,,,
104 1/2 44th st,,,,,,
104 43rd half st,,,,,,
104 44th st,,,,,,
105 40th st,Techmill 41,butler st,3.5,40.4715778,-79.9649063,consolidated
105 40th st,Children's Hospital of Pittsburgh Foundation,butler st,5.0,40.4713134,-79.9650802,consolidated
105 43rd st,,,,,,
105 47th st,,,,,,
105 53rd st,,,,,,
106 44th st,,,,,,
